combat_nbr,winner,rounds,damage_dealt_Aarakocra Ranger,damage_dealt_Aragorn,damage_dealt_Wyvern,damage_dealt_Orc,turns_survived_Aragorn,turns_survived_Aarakocra Ranger,turns_survived_Orc,turns_survived_Wyvern,actions_used_Aragorn_Disengage,actions_used_Aragorn_Attack,actions_used_Aragorn_Dodge,actions_used_Aragorn_Dash,actions_used_Aarakocra Ranger_Attack,actions_used_Aarakocra Ranger_Dodge,actions_used_Aarakocra Ranger_Dash,actions_used_Aarakocra Ranger_Disengage,actions_used_Orc_Attack,actions_used_Orc_Dash,actions_used_Wyvern_Attack,actions_used_Wyvern_Dash,actions_used_Wyvern_Disengage,actions_used_Wyvern_Dodge,initiative_order_Aragorn,initiative_order_Aarakocra Ranger,initiative_order_Orc,initiative_order_Wyvern,actions_used_Orc_Dodge,actions_used_Orc_Disengage,reactions_used_Wyvern_Opportunity Attack,reactions_used_Orc_Opportunity Attack,attack_count_Aragorn,attack_count_Aarakocra Ranger,attack_count_Orc,attack_count_Wyvern,crit_count_Aragorn,crit_count_Aarakocra Ranger,crit_count_Orc,crit_count_Wyvern,total_crits,turns_no_damage,hp_end_Aragorn,hp_end_Aarakocra Ranger,hp_end_Orc,hp_end_Wyvern,damage_this_round,survival_sequence_Aragorn,survival_sequence_Aarakocra Ranger,survival_sequence_Orc,survival_sequence_Wyvern
1.0,enemies,30,38.0,28.0,102.0,5.0,17.0,30.0,9.0,30.0,2.0,13.0,1.0,1.0,21.0,3.0,4.0,2.0,7.0,2.0,19.0,5.0,4.0,2.0,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,enemies,30,51.0,40.0,92.0,4.0,21.0,30.0,9.0,30.0,3.0,17.0,,1.0,23.0,6.0,1.0,,5.0,1.0,27.0,2.0,,1.0,0.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
3.0,enemies,18,30.0,5.0,69.0,28.0,8.0,18.0,15.0,18.0,,6.0,1.0,1.0,16.0,1.0,,1.0,10.0,,14.0,2.0,,2.0,0.0,1.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
4.0,enemies,33,54.0,17.0,83.0,27.0,19.0,33.0,11.0,33.0,2.0,15.0,1.0,1.0,23.0,3.0,2.0,5.0,7.0,1.0,26.0,1.0,2.0,4.0,0.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
5.0,enemies,38,66.0,43.0,111.0,,19.0,38.0,9.0,38.0,1.0,16.0,,2.0,30.0,1.0,4.0,3.0,5.0,1.0,28.0,1.0,4.0,5.0,0.0,1.0,2.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,
6.0,enemies,31,45.0,28.0,107.0,,19.0,31.0,5.0,31.0,1.0,15.0,1.0,2.0,22.0,3.0,4.0,2.0,3.0,1.0,24.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
7.0,enemies,19,31.0,13.0,60.0,39.0,8.0,19.0,10.0,19.0,1.0,4.0,3.0,,14.0,2.0,1.0,2.0,10.0,,12.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
8.0,enemies,10,19.0,6.0,29.0,69.0,4.0,10.0,10.0,10.0,,3.0,1.0,,8.0,,2.0,,9.0,1.0,5.0,1.0,3.0,1.0,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,enemies,17,38.0,8.0,23.0,88.0,4.0,17.0,14.0,17.0,,4.0,,,9.0,4.0,3.0,1.0,9.0,1.0,16.0,,1.0,,0.0,1.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10.0,enemies,14,24.0,4.0,88.0,32.0,6.0,14.0,14.0,14.0,,3.0,2.0,1.0,12.0,1.0,,1.0,12.0,,12.0,2.0,,,0.0,1.0,2.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,
