combat_nbr,winner,rounds,damage_dealt_Aarakocra Ranger,damage_dealt_Aragorn,damage_dealt_Wyvern,damage_dealt_Orc,turns_survived_Aragorn,turns_survived_Aarakocra Ranger,turns_survived_Orc,turns_survived_Wyvern,actions_used_Aragorn_Disengage,actions_used_Aragorn_Attack,actions_used_Aragorn_Dodge,actions_used_Aragorn_Dash,actions_used_Aarakocra Ranger_Attack,actions_used_Aarakocra Ranger_Dodge,actions_used_Aarakocra Ranger_Dash,actions_used_Aarakocra Ranger_Disengage,actions_used_Orc_Attack,actions_used_Orc_Dash,actions_used_Wyvern_Attack,actions_used_Wyvern_Dash,actions_used_Wyvern_Disengage,actions_used_Wyvern_Dodge,initiative_order_Aragorn,initiative_order_Aarakocra Ranger,initiative_order_Orc,initiative_order_Wyvern,actions_used_Orc_Dodge,actions_used_Orc_Disengage,reactions_used_Wyvern_Opportunity Attack,reactions_used_Orc_Opportunity Attack,attack_count_Aragorn,attack_count_Aarakocra Ranger,attack_count_Orc,attack_count_Wyvern,crit_count_Aragorn,crit_count_Aarakocra Ranger,crit_count_Orc,crit_count_Wyvern,total_crits,turns_no_damage,hp_end_Aragorn,hp_end_Aarakocra Ranger,hp_end_Orc,hp_end_Wyvern,damage_this_round,survival_sequence_Aragorn,survival_sequence_Aarakocra Ranger,survival_sequence_Orc,survival_sequence_Wyvern
1.0,enemies,8,7.0,14.0,37.0,53.0,5.0,8.0,8.0,8.0,,5.0,,,6.0,,,2.0,6.0,1.0,8.0,,,,0.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2.0,enemies,21,31.0,15.0,81.0,30.0,9.0,21.0,13.0,21.0,,9.0,,,15.0,1.0,2.0,3.0,7.0,,14.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
3.0,enemies,15,11.0,32.0,33.0,71.0,11.0,15.0,15.0,15.0,,10.0,,1.0,9.0,2.0,1.0,3.0,11.0,2.0,9.0,,6.0,,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
4.0,enemies,15,34.0,17.0,34.0,61.0,6.0,15.0,15.0,15.0,,5.0,,1.0,12.0,2.0,,1.0,11.0,1.0,11.0,,2.0,2.0,0.0,1.0,2.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,
5.0,enemies,14,32.0,20.0,65.0,32.0,7.0,14.0,12.0,14.0,1.0,5.0,1.0,,11.0,,1.0,2.0,11.0,,11.0,2.0,1.0,,0.0,1.0,2.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
6.0,enemies,17,12.0,9.0,45.0,60.0,14.0,17.0,17.0,17.0,3.0,8.0,1.0,2.0,10.0,2.0,4.0,1.0,15.0,,14.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
7.0,enemies,15,30.0,9.0,32.0,64.0,6.0,15.0,15.0,15.0,,5.0,,1.0,11.0,2.0,,2.0,9.0,,9.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,
8.0,enemies,11,11.0,10.0,22.0,71.0,8.0,11.0,11.0,11.0,1.0,6.0,,1.0,8.0,,,3.0,9.0,,8.0,2.0,1.0,,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9.0,enemies,21,42.0,14.0,62.0,34.0,10.0,21.0,13.0,21.0,,8.0,1.0,1.0,18.0,,1.0,2.0,10.0,,14.0,3.0,1.0,3.0,0.0,1.0,2.0,3.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
10.0,enemies,12,27.0,22.0,61.0,47.0,5.0,12.0,12.0,12.0,,4.0,1.0,,11.0,,1.0,,11.0,1.0,10.0,2.0,,,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,enemies,14,36.0,25.0,41.0,67.0,9.0,14.0,14.0,14.0,1.0,6.0,1.0,1.0,11.0,1.0,2.0,,13.0,,11.0,1.0,2.0,,0.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2.0,enemies,15,17.0,18.0,65.0,35.0,10.0,15.0,15.0,15.0,1.0,7.0,1.0,1.0,13.0,,,2.0,14.0,1.0,9.0,,2.0,4.0,0.0,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,
3.0,enemies,8,7.0,17.0,43.0,62.0,4.0,8.0,8.0,8.0,,4.0,,,7.0,1.0,,,6.0,,6.0,,,2.0,0.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
4.0,enemies,33,62.0,26.0,80.0,20.0,17.0,33.0,21.0,33.0,,12.0,1.0,4.0,23.0,2.0,1.0,7.0,15.0,2.0,19.0,6.0,3.0,5.0,0.0,1.0,2.0,3.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,
5.0,enemies,20,20.0,24.0,28.0,69.0,13.0,20.0,20.0,20.0,1.0,8.0,2.0,2.0,16.0,2.0,2.0,,18.0,,12.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
1.0,enemies,21,31.0,24.0,46.0,65.0,15.0,21.0,18.0,21.0,1.0,12.0,,2.0,16.0,1.0,3.0,1.0,13.0,3.0,12.0,4.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
